0000008_A	00012449_a	1
0000008_A	00007273_a	2
0000008_A	00007870_a	3
0000008_A	00005089_a	4
0000008_A	00008661_a	5
0000008_A	00004727_a	6
0000008_A	00005352_a	7
0000013_A	00012159_a	1
0000013_A	00008925_a	2
0000013_A	00013329_a	3
0000013_A	00000772_a	4
0000031_A	00008747_a	1
0000031_A	00003599_a	2
0000031_A	00005394_a	3
0000031_A	00013136_a	4
0000031_A	00009220_a	5
0000031_A	00005094_a	6
0000031_A	00008400_a	7
0000034_A	00009212_a	1
0000034_A	00009942_a	2
0000034_A	00011994_a	3
0000038_A	00000821_a	1
0000038_A	00008266_a	2
0000038_A	00009894_a	3
0000039_A	00010694_a	1
0000039_A	00005828_a	2
0000039_A	00012404_a	3
0000041_A	00006050_a	1
0000041_A	00003074_a	2
0000041_A	00010733_a	3
0000041_A	00007060_a	4
0000041_A	00012049_a	5
0000041_A	00011146_a	6
0000041_A	00002512_a	7
0000041_A	00001726_a	8
0000041_A	00007525_a	9
0000041_A	00009373_a	10
0000041_A	00000835_a	11
0000041_A	00008591_a	12
0000041_A	00001214_a	13
0000041_A	00005053_a	14
0000041_A	00004877_a	15
0000041_A	00003472_a	16
0000041_A	00005681_a	17
0000041_A	00001325_a	18
0000041_A	00013334_a	19
0000041_A	00004749_a	20
0000045_A	00011176_a	1
0000045_A	00008845_a	2
0000045_A	00001783_a	3
0000045_A	00000786_a	4
0000045_A	00005763_a	5
0000045_A	00004374_a	6
0000045_A	00005253_a	7
0000045_A	00001956_a	8
0000045_A	00006772_a	9
0000045_A	00003678_a	10
0000045_A	00006773_a	11
0000045_A	00007169_a	12
0000045_A	00013854_a	13
0000045_A	00003035_a	14
0000045_A	00009985_a	15
0000045_A	00007687_a	16
0000045_A	00010982_a	17
0000045_A	00000684_a	18
0000045_A	00000233_a	19
0000045_A	00003032_a	20
0000046_A	00001402_a	1
0000046_A	00013366_a	2
0000046_A	00006260_a	3
0000046_A	00004039_a	4
0000050_A	00011395_a	1
0000050_A	00011957_a	2
0000050_A	00011927_a	3
0000050_A	00013579_a	4
0000054_A	00003543_a	1
0000054_A	00013294_a	2
0000054_A	00012560_a	3
0000056_A	00003687_a	1
0000056_A	00010527_a	2
